"","Generation","Simulation","h2_true","he_estimated","rg_true","rg_estimated","he_bias","rg_bias"
"1",0,"2xAM","0.499","0.499","-0.000152","-0.000351","-1.18e-05","-0.000199"
"2",1,"2xAM","0.511","0.538","0.0474","0.0945","0.0266","0.0471"
"3",2,"2xAM","0.518","0.563","0.0747","0.149","0.0449","0.074"
"4",3,"2xAM","0.523","0.58","0.0911","0.181","0.0568","0.0898"
"5",4,"2xAM","0.526","0.59","0.101","0.2","0.0645","0.0988"
"6",5,"2xAM","0.527","0.597","0.107","0.212","0.0693","0.105"
"7",0,"5xAM","0.499","0.499","8.46e-07","-3.68e-05","3.9e-05","-3.76e-05"
"8",1,"5xAM","0.511","0.542","0.0474","0.101","0.0302","0.0533"
"9",2,"5xAM","0.52","0.58","0.0807","0.176","0.0601","0.0957"
"10",3,"5xAM","0.527","0.613","0.104","0.23","0.0862","0.126"
"11",4,"5xAM","0.531","0.639","0.12","0.269","0.107","0.148"
"12",5,"5xAM","0.535","0.658","0.132","0.296","0.124","0.164"
"13",0,"5xAM + GxE","0.502","0.502","-1.34e-05","-7.94e-05","-7.02e-05","-6.6e-05"
"14",1,"5xAM + GxE","0.513","0.544","0.0478","0.102","0.0307","0.0537"
"15",2,"5xAM + GxE","0.521","0.582","0.0812","0.177","0.0608","0.0962"
"16",3,"5xAM + GxE","0.527","0.614","0.105","0.232","0.0869","0.127"
"17",4,"5xAM + GxE","0.531","0.639","0.121","0.27","0.108","0.149"
"18",5,"5xAM + GxE","0.534","0.658","0.133","0.298","0.124","0.165"
"19",0,"5xAM + VT","0.499","0.499","-2.48e-05","-4.73e-06","0.000153","2.01e-05"
"20",1,"5xAM + VT","0.428","0.605","0.0335","0.317","0.177","0.283"
"21",2,"5xAM + VT","0.391","0.68","0.054","0.456","0.289","0.402"
"22",3,"5xAM + VT","0.372","0.72","0.0642","0.516","0.347","0.452"
"23",4,"5xAM + VT","0.362","0.74","0.0691","0.545","0.377","0.475"
"24",5,"5xAM + VT","0.357","0.748","0.071","0.557","0.391","0.486"
"25",0,"5xAM + VT + GxE","0.499","0.499","2.3e-05","8.48e-05","-3.24e-05","6.17e-05"
"26",1,"5xAM + VT + GxE","0.422","0.599","0.0335","0.32","0.177","0.286"
"27",2,"5xAM + VT + GxE","0.377","0.666","0.0534","0.465","0.29","0.412"
"28",3,"5xAM + VT + GxE","0.348","0.697","0.0622","0.533","0.35","0.47"
"29",4,"5xAM + VT + GxE","0.328","0.707","0.0654","0.567","0.379","0.502"
"30",5,"5xAM + VT + GxE","0.312","0.703","0.0653","0.585","0.391","0.52"
"31",0,"RM","0.499","0.499","6.76e-06","-2.73e-05","8.77e-05","-3.41e-05"
"32",1,"RM","0.499","0.499","4.89e-06","-5.64e-05","0.000139","-6.13e-05"
"33",2,"RM","0.499","0.499","3.66e-05","5.42e-05","-3.77e-06","1.77e-05"
"34",3,"RM","0.499","0.499","1.45e-05","7.31e-05","5.91e-05","5.86e-05"
"35",4,"RM","0.5","0.5","-8.69e-05","-0.000277","0.000133","-0.00019"
"36",5,"RM","0.499","0.499","0.000165","0.000103","-0.000476","-6.17e-05"
"37",0,"RM + VT","0.499","0.499","1.3e-05","-4.06e-06","7.25e-05","-1.71e-05"
"38",1,"RM + VT","0.462","0.539","-4.12e-05","0.143","0.0769","0.143"
"39",2,"RM + VT","0.444","0.549","3.77e-05","0.192","0.105","0.192"
"40",3,"RM + VT","0.436","0.551","1.7e-05","0.209","0.115","0.209"
"41",4,"RM + VT","0.433","0.551","-9.32e-05","0.215","0.118","0.215"
"42",5,"RM + VT","0.432","0.551","0.000136","0.217","0.12","0.217"
