"","Phenotype.1","Phenotype.2","rx_yy","se2_rx_yy","rx_zz","se2_rx_zz","rx_yz","se2_rx_yz","rw_yz","se2_rw_yz"
"D1100_D2100","ALC","SCZ",0.298659226323314,4.05792142917325e-05,0.288919609180435,0.000524123274788026,0.154336585113621,0.000112705305668925,0.424399986470417,5.7703162375881e-05
"D1100_D3100","ALC","BIP",0.29865911659425,4.05792142917325e-05,0.108170149012491,0.000696917449532353,0.111155082036464,9.85398405125316e-05,0.459633600766972,4.43034633787185e-05
"D1100_D3300","ALC","MDD",0.298659195738395,4.05792142917325e-05,0.173435009794655,4.27209208287883e-05,0.117456363008477,2.55114469432387e-05,0.502438749732235,1.23282549940566e-05
"D1100_D4300","ALC","ANX",0.298659197267445,4.05792142917325e-05,0.339770039719461,5.33915395224045e-05,0.0819581912332972,3.53220393198635e-05,0.357291719930076,2.1955682753667e-05
"D1100_D9201","ALC","ADHD",0.298659227996781,4.05792142917325e-05,0.349588809278657,0.000782356596264669,0.144038058246398,0.000160255269884612,0.376799335326532,9.41327045023401e-05
"D2100_D3100","SCZ","BIP",0.288919725374084,0.000524123274788022,0.108170719241368,0.000696917449532351,0.143821511912447,0.000396549843578468,0.498261605727886,0.000108312738678624
"D2100_D3300","SCZ","MDD",0.2889197932737,0.000524123274788022,0.173435037321758,4.27209208287884e-05,0.149449289666448,0.000108057484884403,0.47357684588567,4.97820744993694e-05
"D2100_D4300","SCZ","ANX",0.288919711799163,0.000524123274788022,0.339770054239821,5.33915395224045e-05,0.169735191393066,0.000131013455270744,0.382437203295604,7.41732477218439e-05
"D2100_D9201","SCZ","ADHD",0.288919720436511,0.000524123274788022,0.349588847211853,0.00078235659626467,0.109343858385092,0.000752960320898094,0.29967939125034,0.000347821713641258
"D3100_D3300","BIP","MDD",0.108170752556369,0.000696917449532353,0.173435006361701,4.27209208287883e-05,0.0946087536908407,9.94240632952256e-05,0.630382322183281,2.54049600825087e-05
"D3100_D4300","BIP","ANX",0.108170741403615,0.000696917449532353,0.339770050713262,5.33915395224046e-05,0.0520999615219987,0.000148454300047538,0.367295278210786,6.25404405083741e-05
"D3100_D9201","BIP","ADHD",0.108170742472323,0.000696917449532353,0.349588843117514,0.000782356596264673,0.121864778749363,0.000601528153385632,0.405016578598604,0.00020025477964677
"D3300_D4300","MDD","ANX",0.173435696839976,4.27209208287883e-05,0.33977013392662,5.33915395224044e-05,0.183639229182284,3.26823543982022e-05,0.634118803152932,9.59151644526255e-06
"D3300_D9201","MDD","ADHD",0.173435002988053,4.27209208287883e-05,0.34958884114601,0.000782356596264668,0.161930301420378,0.000160838178738718,0.483940987193499,7.00986026942112e-05
"D4300_D9201","ANX","ADHD",0.339770054105878,5.33915395224045e-05,0.349588838822478,0.000782356596264672,0.130687415346667,0.00021860292145748,0.410492144731345,9.71120011025203e-05
