"gen","scenario","variable","xAM","mean","sd","se","n"
0,"2xAM","rg_true","2-variate xAM",-0.000151996160761945,0.00201330711340496,7.35155814131673e-05,750
1,"2xAM","rg_true","2-variate xAM",0.0473610979231568,0.0030150837284333,0.000110095291388647,750
2,"2xAM","rg_true","2-variate xAM",0.0747249587764544,0.00415231339020757,0.000151621047309829,750
3,"2xAM","rg_true","2-variate xAM",0.0911329873777343,0.00548440309850555,0.000200262086100181,750
4,"2xAM","rg_true","2-variate xAM",0.100742453412525,0.00759292743109686,0.000277254508767433,750
5,"2xAM","rg_true","2-variate xAM",0.10687360569973,0.0112993328500525,0.000412593299115526,750
0,"2xAM","he_rg","2-variate xAM",-0.000351313312508336,0.00462866752923095,0.000169015041130099,750
1,"2xAM","he_rg","2-variate xAM",0.0944953440268237,0.0068889399370159,0.000251548520053455,750
2,"2xAM","he_rg","2-variate xAM",0.148745713721027,0.0102220643732965,0.000373257016101625,750
3,"2xAM","he_rg","2-variate xAM",0.18089125893294,0.0131326599513936,0.000479536939694866,750
4,"2xAM","he_rg","2-variate xAM",0.1995103385383,0.0179432163730751,0.000655193624115284,750
5,"2xAM","he_rg","2-variate xAM",0.211512402749312,0.0258689944451264,0.000944602119838103,750
0,"5xAM","rg_true","5-variate xAM",8.45834799683575e-07,0.000600141108364812,2.19140548491707e-05,750
1,"5xAM","rg_true","5-variate xAM",0.047443293554296,0.00122116182387072,4.45905251532097e-05,750
2,"5xAM","rg_true","5-variate xAM",0.0806759728466707,0.00187960050223998,6.86333062783253e-05,750
3,"5xAM","rg_true","5-variate xAM",0.10394070242327,0.00245161298431222,8.95202489186907e-05,750
4,"5xAM","rg_true","5-variate xAM",0.120414014498207,0.00319972506347285,0.000116837439671915,750
5,"5xAM","rg_true","5-variate xAM",0.132010351934841,0.00439215914116209,0.000160378975851133,750
0,"5xAM","he_rg","5-variate xAM",-3.678476349541e-05,0.00147362598771517,5.38092129864952e-05,750
1,"5xAM","he_rg","5-variate xAM",0.100739113583375,0.00310512597394468,0.000113383169321647,750
2,"5xAM","he_rg","5-variate xAM",0.176407654751106,0.00498379767549023,0.000181982560593854,750
3,"5xAM","he_rg","5-variate xAM",0.230180965951402,0.00651527183330207,0.000237904090091839,750
4,"5xAM","he_rg","5-variate xAM",0.268890921913063,0.00907263421535333,0.00033128576104948,750
5,"5xAM","he_rg","5-variate xAM",0.295548112081288,0.0125368552171114,0.000457781226839215,750
