"gen","traits","type","median_value","mean_value","sd_value","n"
0,"edu / height","rg_true",0,0,0,100
1,"edu / height","rg_true",0,0,0,100
2,"edu / height","rg_true",0,0,0,100
3,"edu / height","rg_true",0,0,0,100
4,"edu / height","rg_true",0,0,0,100
5,"edu / height","rg_true",0,0,0,100
0,"edu / wealth","rg_true",0,0,0,100
1,"edu / wealth","rg_true",0,0,0,100
2,"edu / wealth","rg_true",0,0,0,100
3,"edu / wealth","rg_true",0,0,0,100
4,"edu / wealth","rg_true",0,0,0,100
5,"edu / wealth","rg_true",0,0,0,100
0,"height / wealth","rg_true",0,0,0,100
1,"height / wealth","rg_true",0,0,0,100
2,"height / wealth","rg_true",0,0,0,100
3,"height / wealth","rg_true",0,0,0,100
4,"height / wealth","rg_true",0,0,0,100
5,"height / wealth","rg_true",0,0,0,100
0,"edu / height","rgHE",0,-0.0156294566475874,0.203074307078963,100
1,"edu / height","rgHE",0.999625063272785,1.00264735271359,0.0463463701449142,100
2,"edu / height","rgHE",1.00344030994445,1.00547730601518,0.0284316385956363,100
3,"edu / height","rgHE",0.98784560617188,0.994471107712106,0.0455474451763885,100
4,"edu / height","rgHE",1.00409996114746,1.01515042946611,0.0688881656468885,100
5,"edu / height","rgHE",0.99926567683639,1.0316134935066,0.147533023657541,100
0,"edu / wealth","rgHE",0,0.178414194474972,0.82922189312427,100
1,"edu / wealth","rgHE",1.00410293235297,1.00466167426324,0.0653874104674049,100
2,"edu / wealth","rgHE",1.00625670316761,1.0057750668922,0.0447929708329727,100
3,"edu / wealth","rgHE",0.992065596606868,0.995300704786393,0.0631847383757519,100
4,"edu / wealth","rgHE",1.00677005575877,1.00705714188706,0.0889922170265055,100
5,"edu / wealth","rgHE",1.03698489661292,1.04188713770976,0.154934529113293,100
0,"height / wealth","rgHE",0,-7.10779025329352e-05,0.176327336926689,100
1,"height / wealth","rgHE",0.999572976162544,1.0027772311522,0.0301861728758126,100
2,"height / wealth","rgHE",1.0058740599604,1.00328361187923,0.0214814515793482,100
3,"height / wealth","rgHE",1.00536531310285,1.00189082593228,0.0315537846446643,100
4,"height / wealth","rgHE",1.00886411115158,1.00839529474536,0.0452251595079463,100
5,"height / wealth","rgHE",1.01366883419369,1.01960554033959,0.0936843500478407,100
