"CanonicalVariate","cv","cumulative_redundancy","individual_redundancy"
"",0,0,0
"CV 1",1,0.479698304034574,0.479698304034574
"CV 2",2,0.597272145572738,0.117573841538165
"CV 3",3,0.662291585718809,0.0650194401460708
"CV 4",4,0.803418857677274,0.141127271958465
"CV 5",5,0.843848994392405,0.0404301367151311
"CV 6",6,0.893653752220743,0.0498047578283377
"CV 7",7,0.907358952544994,0.0137052003242515
"CV 8",8,0.918364690799707,0.0110057382547124
"CV 9",9,0.929200399626843,0.0108357088271364
"CV 10",10,0.937256425137061,0.00805602551021749
"CV 11",11,0.94427222944749,0.00701580431042993
"CV 12",12,0.951816509018468,0.0075442795709778
"CV 13",13,0.958153247210267,0.00633673819179834
"CV 14",14,0.964582625803212,0.00642937859294572
"CV 15",15,0.971186634899686,0.00660400909647386
"CV 16",16,0.974374137542562,0.00318750264287604
"CV 17",17,0.979413127799575,0.005038990257013
"CV 18",18,0.982288389988965,0.00287526218938927
"CV 19",19,0.985098135345714,0.00280974535675003
"CV 20",20,0.986654701005817,0.00155656566010236
"CV 21",21,0.988588457608057,0.0019337566022398
"CV 22",22,0.989835189970594,0.00124673236253733
"CV 23",23,0.991147342918273,0.00131215294767865
"CV 24",24,0.992457410209571,0.00131006729129821
"CV 25",25,0.993689074046111,0.00123166383653974
"CV 26",26,0.994802761892863,0.00111368784675241
"CV 27",27,0.995588719875682,0.000785957982818945
"CV 28",28,0.996408504667647,0.000819784791964943
"CV 29",29,0.997149204467726,0.000740699800078764
"CV 30",30,0.997724128977147,0.000574924509421669
"CV 31",31,0.998215415931914,0.000491286954766797
"CV 32",32,0.998536766584667,0.000321350652753209
"CV 33",33,0.998953899659642,0.000417133074974584
"CV 34",34,0.999265655871629,0.000311756211987276
"CV 35",35,0.999477635520467,0.000211979648837766
"CV 36",36,0.999639486159833,0.000161850639366524
"CV 37",37,0.999768226883874,0.000128740724040998
"CV 38",38,0.999853777097661,8.55502137861293e-05
"CV 39",39,0.999897983724238,4.42066265769604e-05
"CV 40",40,0.999936262795402,3.82790711642872e-05
"CV 41",41,0.999969694433638,3.34316382366369e-05
"CV 42",42,0.999993860927659,2.4166494020592e-05
"CV 43",43,0.999998643420947,4.78249328810377e-06
"CV 44",44,1,1.35657905285813e-06
