"CV","corr","xcanvad","ycanvad","xvrd","yvrd","chisq","df","xvrd_cum","yvrd_cum"
"CV 1",0.589846238332159,0.0657594329755147,0.0737465952053741,0.0228789288629971,0.0256578110431736,11693.4392794796,1156,0.0228789288629971,0.0256578110431736
"CV 2",0.484272838176855,0.0398702402746749,0.039629408953285,0.00935037599746163,0.00929389619218712,8278.52484830774,1089,0.0322293048604587,0.0349517072353607
"CV 3",0.396780273779561,0.0336333032169168,0.0400962459247839,0.00529504515635208,0.00631253586371322,6144.11332862805,1024,0.0375243500168108,0.0412642430990739
"CV 4",0.313239639424718,0.0606947250990865,0.0472942292540697,0.00595531008422951,0.00464046587150392,4775.99411921782,961,0.0434796601010403,0.0459047089705779
"CV 5",0.278449947012012,0.101446197115139,0.117128574242641,0.00786556728564295,0.00908149056323206,3951.20609227483,900,0.0513452273866832,0.0549861995338099
"CV 6",0.262529082706611,0.021277050972757,0.0216361565516998,0.00146644667855902,0.00149119678063693,3306.65429634303,841,0.0528116740652423,0.0564773963144469
"CV 7",0.215010435295569,0.0475927278738816,0.0355659962713672,0.00220018740815119,0.00164419777244074,2736.32469028211,784,0.0550118614733935,0.0581215940868876
"CV 8",0.189777019975542,0.0296518780357463,0.0335296237472137,0.00106792179631847,0.00120758003856755,2358.30616138025,729,0.0560797832697119,0.0593291741254551
"CV 9",0.17652184341138,0.0231980014854215,0.0272045684066835,0.000722848826234639,0.000847693296051782,2065.36234908183,676,0.0568026320959466,0.0601768674215069
"CV 10",0.170719690072751,0.028096433489839,0.0284935294169072,0.000818876526760058,0.000830449971968531,1812.54362697304,625,0.0576215086227066,0.0610073173934755
"CV 11",0.157028567847001,0.0306463463127791,0.025531933497489,0.000755676722316484,0.000629565678820892,1576.3159638755,576,0.0583771853450231,0.0616368830722963
"CV 12",0.147765312856828,0.0264254069806977,0.0242551848630713,0.000576987865796876,0.000529601960676509,1376.91645414029,529,0.05895417321082,0.0621664850329729
"CV 13",0.145607165695957,0.0114452002656928,0.0129927369800572,0.000242654803426915,0.000275464820595916,1200.60256674762,484,0.0591968280142469,0.0624419498535688
"CV 14",0.139592925867775,0.0220270911612553,0.0250441228991356,0.000429223972329968,0.000488014410781341,1029.45646038246,441,0.0596260519865769,0.0629299642643501
"CV 15",0.126772316683572,0.0271569230496759,0.0234642476657724,0.000436444892385566,0.000377099092878215,872.293771551706,400,0.0600624968789624,0.0633070633572283
"CV 16",0.121855741073777,0.0302362449847298,0.0259574134724124,0.00044897260861904,0.000385437002696523,742.898392311136,361,0.0605114694875815,0.0636925003599249
"CV 17",0.116605979100888,0.0319727823730216,0.0339104003167819,0.000434732462754588,0.000461078165507038,623.419002504897,324,0.0609462019503361,0.0641535785254319
"CV 18",0.111959922762067,0.0285688142472271,0.0329223840896037,0.000358110780950825,0.000412682884738044,514.081904681583,289,0.0613043127312869,0.0645662614101699
"CV 19",0.102954294341709,0.0177493066260109,0.0184870317969858,0.000188135314862609,0.000195954896790393,413.338193172177,256,0.0614924480461495,0.0647622163069603
"CV 20",0.0890870015864713,0.0166205827321484,0.017404139056717,0.000131909152664834,0.000138127842617208,328.232751490914,225,0.0616243571988143,0.0649003441495775
"CV 21",0.0861061690146161,0.0178989269133584,0.0180960155630435,0.00013270751877188,0.000134168787696236,264.595077976246,196,0.0617570647175862,0.0650345129372738
"CV 22",0.0810145175197094,0.0254215776219682,0.0189445854054671,0.000166850763572719,0.000124339983437505,205.160386136315,169,0.0619239154811589,0.0651588529207113
"CV 23",0.0787280589096849,0.0208897122498453,0.0186078577261944,0.000129476677148535,0.000115333498059945,152.569399002564,144,0.0620533921583075,0.0652741864187712
"CV 24",0.0660568875360197,0.0215774491493565,0.0256721677845431,9.4153466728232e-05,0.000112020822230308,102.91417170094,121,0.0621475456250357,0.0653862072410015
"CV 25",0.0476277615762723,0.0167318318733797,0.0219825474011789,3.79545488736818e-05,4.98652912615921e-05,67.988725645356,100,0.0621855001739094,0.0654360725322631
"CV 26",0.0408303098577507,0.0203561605941398,0.0146374553133074,3.39360444466665e-05,2.44023096497625e-05,49.8515406981911,81,0.062219436218356,0.0654604748419129
"CV 27",0.0378170476546039,0.0295875073564977,0.0214051834631915,4.23139550690683e-05,3.06121756183608e-05,36.5260224460804,64,0.0622617501734251,0.0654910870175312
"CV 28",0.0306879747574506,0.0279561703799972,0.0204208432808576,2.63277736286907e-05,1.92313658093195e-05,25.0961213758304,49,0.0622880779470538,0.0655103183833406
"CV 29",0.0283892415291487,0.0179206043711348,0.0225920163609231,1.44430937923708e-05,1.82080137757611e-05,17.5712768430187,36,0.0623025210408462,0.0655285263971163
"CV 30",0.0243937097207722,0.0267336180782526,0.0236076447605099,1.59079216150368e-05,1.40478015832555e-05,11.1319696527801,25,0.0623184289624612,0.0655425741986996
"CV 31",0.0201208559307494,0.0198665438340377,0.0153831942754372,8.04294729328689e-06,6.22786840999245e-06,6.37816375402774,16,0.0623264719097545,0.0655488020671096
"CV 32",0.0168389817547456,0.0208263365316734,0.0288556193934666,5.90533493392807e-06,8.18204857994191e-06,3.14418378561962,9,0.0623323772446884,0.0655569841156895
"CV 33",0.00985735784856196,0.0182188753696142,0.0230929362790142,1.77028264088169e-06,2.24388297259599e-06,0.879280152594437,4,0.0623341475273293,0.0655592279986621
"CV 34",0.0035949266216616,0.0219459964045264,0.0224074103808304,2.83619027806377e-07,2.89582110136447e-07,0.103214179050202,1,0.0623344311463571,0.0655595175807722
